,Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
4057,23.0,Female,31.0,Reading/Writing,4.0,No,53.0,68.0,61.0,No,Medium,14.0,8.0,3.105,Engineering,Electrical
4058,19.0,Female,37.0,Reading/Writing,0.0,No,56.0,87.0,62.0,Yes,Medium,12.0,9.0,3.635,Engineering,Electrical
4059,26.0,Male,17.0,Kinesthetic,15.0,Yes,64.0,79.0,88.0,Yes,High,2.0,4.0,3.815,Health Sciences,Nursing
4060,26.0,Male,16.0,Visual,1.0,No,85.0,60.0,82.0,Yes,Low,0.0,7.0,3.595,Engineering,Computer
4061,26.0,Male,30.0,Reading/Writing,20.0,No,93.0,85.0,96.0,Yes,Low,10.0,10.0,4.48,Business and Finance,Economics
4062,29.0,Female,23.0,Kinesthetic,8.0,Yes,57.0,89.0,85.0,No,Low,2.0,10.0,3.93,Health Sciences,Medical Technology
4063,18.0,Female,29.0,Kinesthetic,2.0,Yes,71.0,42.0,73.0,No,Low,10.0,10.0,2.845,Health Sciences,Medical Technology
4064,22.0,Male,49.0,Visual,16.0,No,64.0,85.0,99.0,Yes,Medium,30.0,5.0,4.075,Engineering,Computer
4065,20.0,Female,29.0,Auditory,20.0,No,93.0,65.0,50.0,Yes,Medium,21.0,10.0,3.52,Engineering,Electronic
4066,20.0,Female,31.0,Reading/Writing,20.0,No,53.0,55.0,76.0,Yes,Low,16.0,4.0,2.93,Engineering,Electronic
4067,21.0,Male,29.0,Reading/Writing,10.0,Yes,57.0,48.0,84.0,Yes,Medium,12.0,8.0,2.895,Engineering,Mechanical
4068,29.0,Female,44.0,Reading/Writing,5.0,No,75.0,49.0,85.0,Yes,Medium,20.0,8.0,3.2,Business and Finance,Business Administration
4069,25.0,Male,25.0,Auditory,13.0,Yes,60.0,71.0,86.0,Yes,Medium,6.0,7.0,3.535,Engineering,Mechanical
4070,28.0,Male,14.0,Auditory,9.0,Yes,64.0,63.0,56.0,Yes,Medium,5.0,10.0,3.095,Engineering,Electronic
4072,22.0,Female,10.0,Reading/Writing,19.0,Yes,90.0,68.0,60.0,No,Low,20.0,10.0,3.65,Engineering,Electronic
4073,29.0,Female,7.0,Auditory,11.0,Yes,65.0,46.0,51.0,Yes,Medium,18.0,5.0,2.635,Business and Finance,Business Administration
4074,29.0,Male,39.0,Kinesthetic,7.0,Yes,95.0,59.0,65.0,Yes,Medium,27.0,8.0,3.55,Engineering,Computer
4075,21.0,Female,16.0,Kinesthetic,5.0,Yes,63.0,56.0,62.0,Yes,Medium,24.0,5.0,2.965,Engineering,Electrical
4076,28.0,Female,27.0,Visual,3.0,No,90.0,94.0,76.0,No,High,16.0,5.0,4.46,Engineering,Electronic
4077,22.0,Female,11.0,Auditory,15.0,Yes,57.0,78.0,63.0,Yes,Medium,30.0,6.0,3.435,Health Sciences,Pharmacy
4078,20.0,Female,32.0,Kinesthetic,1.0,No,60.0,97.0,83.0,Yes,Low,12.0,5.0,4.155,Health Sciences,Public Health
4079,27.0,Male,25.0,Visual,10.0,Yes,71.0,42.0,91.0,No,High,21.0,7.0,3.025,Engineering,Electrical
4080,23.0,Female,8.0,Visual,16.0,Yes,68.0,54.0,72.0,Yes,Medium,24.0,5.0,3.09,Health Sciences,Pharmacy
4082,23.0,Female,48.0,Kinesthetic,20.0,Yes,82.0,76.0,51.0,Yes,High,22.0,8.0,3.64,Business and Finance,Business Administration
4083,26.0,Male,5.0,Visual,3.0,No,58.0,69.0,91.0,Yes,Medium,18.0,8.0,3.505,Business and Finance,Accountancy
4084,25.0,Male,46.0,Visual,1.0,No,54.0,100.0,91.0,Yes,High,16.0,9.0,4.22,Health Sciences,Medical Technology
4085,24.0,Female,47.0,Kinesthetic,4.0,Yes,57.0,87.0,68.0,Yes,Medium,14.0,5.0,3.71,Engineering,Computer
4086,19.0,Male,14.0,Visual,11.0,Yes,74.0,78.0,61.0,No,Medium,29.0,8.0,3.67,Engineering,Electrical
4087,20.0,Female,44.0,Visual,17.0,Yes,98.0,48.0,75.0,Yes,Low,20.0,8.0,3.42,Health Sciences,Medical Technology
4088,23.0,Male,46.0,Kinesthetic,19.0,Yes,74.0,94.0,81.0,Yes,Low,14.0,10.0,4.27,Engineering,Mechanical
4089,27.0,Female,14.0,Kinesthetic,12.0,Yes,85.0,79.0,82.0,Yes,High,10.0,4.0,4.07,Business and Finance,Entrepreneurship
4090,25.0,Female,43.0,Visual,7.0,No,93.0,85.0,93.0,No,High,21.0,8.0,4.45,Engineering,Computer
4091,28.0,Male,21.0,Auditory,4.0,No,87.0,58.0,57.0,Yes,High,6.0,4.0,3.325,Health Sciences,Pharmacy
4092,24.0,Male,16.0,Kinesthetic,20.0,Yes,68.0,69.0,73.0,No,Low,26.0,5.0,3.475,Business and Finance,Business Administration
4093,26.0,Male,17.0,Auditory,15.0,Yes,79.0,45.0,93.0,Yes,High,9.0,5.0,3.24,Engineering,Electrical
4094,24.0,Female,37.0,Visual,20.0,Yes,87.0,43.0,97.0,Yes,Medium,14.0,8.0,3.35,Engineering,Mechanical
4095,28.0,Male,24.0,Visual,8.0,Yes,56.0,44.0,91.0,Yes,Low,8.0,5.0,2.85,Business and Finance,Business Administration
4096,20.0,Female,30.0,Auditory,12.0,Yes,93.0,85.0,53.0,No,Medium,16.0,8.0,4.05,Business and Finance,Accountancy
4097,19.0,Male,18.0,Visual,20.0,Yes,65.0,79.0,85.0,Yes,High,27.0,4.0,3.8,Business and Finance,Economics
4098,20.0,Male,13.0,Reading/Writing,6.0,No,83.0,58.0,99.0,No,Low,1.0,9.0,3.685,Health Sciences,Pharmacy
4099,18.0,Female,44.0,Reading/Writing,19.0,Yes,63.0,85.0,54.0,No,Medium,5.0,10.0,3.61,Engineering,Mechanical
4100,20.0,Male,46.0,Reading/Writing,5.0,Yes,86.0,67.0,79.0,Yes,Medium,10.0,7.0,3.755,Business and Finance,Entrepreneurship
4101,23.0,Female,15.0,Reading/Writing,2.0,No,50.0,56.0,80.0,No,Low,1.0,10.0,2.95,Engineering,Electrical
4102,22.0,Female,31.0,Visual,10.0,Yes,100.0,87.0,90.0,No,High,17.0,5.0,4.575,Health Sciences,Nursing
4103,21.0,Female,32.0,Auditory,14.0,Yes,61.0,100.0,81.0,No,Medium,24.0,7.0,4.225,Business and Finance,Accountancy
4104,26.0,Male,35.0,Reading/Writing,1.0,Yes,68.0,82.0,56.0,No,Low,0.0,4.0,3.63,Health Sciences,Public Health
4105,19.0,Male,25.0,Reading/Writing,11.0,Yes,62.0,85.0,54.0,Yes,High,28.0,5.0,3.595,Engineering,Electronic
4106,27.0,Female,18.0,Visual,0.0,No,54.0,82.0,61.0,No,Medium,30.0,7.0,3.47,Health Sciences,Nursing
4107,25.0,Male,20.0,Visual,20.0,Yes,59.0,84.0,91.0,Yes,High,23.0,6.0,3.895,Engineering,Electrical
4108,21.0,Female,31.0,Visual,1.0,No,79.0,49.0,99.0,Yes,Low,4.0,6.0,3.4,Health Sciences,Pharmacy
4109,19.0,Female,13.0,Auditory,7.0,Yes,64.0,63.0,91.0,No,Low,6.0,4.0,3.445,Health Sciences,Medical Technology
4110,24.0,Male,9.0,Visual,4.0,Yes,63.0,76.0,77.0,Yes,High,4.0,4.0,3.615,Engineering,Electrical
4111,24.0,Female,22.0,Visual,16.0,Yes,78.0,85.0,61.0,No,Medium,8.0,4.0,3.905,Engineering,Mechanical
4113,22.0,Female,9.0,Auditory,13.0,Yes,58.0,98.0,75.0,Yes,High,10.0,6.0,4.07,Engineering,Mechanical
4114,19.0,Male,15.0,Reading/Writing,2.0,No,90.0,74.0,77.0,No,Medium,29.0,8.0,3.97,Business and Finance,Accountancy
4115,25.0,Female,41.0,Reading/Writing,9.0,No,61.0,57.0,61.0,Yes,High,24.0,5.0,2.95,Business and Finance,Accountancy
4116,24.0,Female,35.0,Visual,13.0,Yes,79.0,63.0,72.0,No,Medium,5.0,7.0,3.48,Engineering,Electronic
4117,23.0,Male,18.0,Visual,6.0,Yes,88.0,65.0,76.0,Yes,Medium,10.0,7.0,3.705,Business and Finance,Entrepreneurship
4118,29.0,Female,36.0,Auditory,2.0,No,78.0,43.0,95.0,Yes,Low,18.0,8.0,3.195,Health Sciences,Nursing
4119,18.0,Female,14.0,Auditory,3.0,Yes,99.0,40.0,84.0,Yes,Medium,2.0,5.0,3.325,Health Sciences,Medical Technology
4120,28.0,Male,42.0,Kinesthetic,5.0,Yes,95.0,41.0,74.0,No,Low,9.0,8.0,3.19,Business and Finance,Business Administration
4121,25.0,Male,6.0,Visual,6.0,Yes,68.0,55.0,63.0,Yes,Medium,18.0,5.0,3.025,Business and Finance,Accountancy
4122,27.0,Male,39.0,Visual,4.0,Yes,67.0,44.0,64.0,Yes,High,22.0,6.0,2.745,Engineering,Electronic
4123,21.0,Male,22.0,Visual,2.0,Yes,63.0,79.0,74.0,Yes,High,15.0,5.0,3.66,Business and Finance,Accountancy
4124,24.0,Female,17.0,Kinesthetic,13.0,No,59.0,85.0,76.0,Yes,Low,6.0,10.0,3.77,Engineering,Electronic
4125,26.0,Female,10.0,Kinesthetic,19.0,No,68.0,100.0,77.0,No,Medium,21.0,5.0,4.29,Engineering,Electronic
4126,27.0,Female,47.0,Kinesthetic,15.0,No,67.0,53.0,89.0,Yes,Low,1.0,8.0,3.22,Health Sciences,Pharmacy
4127,21.0,Female,9.0,Visual,18.0,No,58.0,64.0,69.0,Yes,Medium,6.0,4.0,3.16,Business and Finance,Entrepreneurship
4128,22.0,Female,12.0,Kinesthetic,7.0,No,83.0,45.0,98.0,No,High,21.0,5.0,3.35,Business and Finance,Economics
4129,20.0,Male,21.0,Visual,0.0,Yes,68.0,66.0,52.0,Yes,Medium,12.0,8.0,3.19,Health Sciences,Nursing
4131,20.0,Male,49.0,Visual,3.0,Yes,98.0,93.0,72.0,No,Medium,22.0,7.0,4.515,Business and Finance,Accountancy
4132,25.0,Male,35.0,Kinesthetic,12.0,Yes,62.0,74.0,92.0,Yes,High,14.0,6.0,3.7,Engineering,Electronic
4133,27.0,Male,11.0,Auditory,15.0,No,69.0,77.0,78.0,Yes,Medium,13.0,9.0,3.74,Business and Finance,Economics
4134,22.0,Female,8.0,Visual,10.0,No,93.0,40.0,96.0,Yes,High,30.0,7.0,3.355,Engineering,Electrical
4135,22.0,Male,42.0,Kinesthetic,4.0,Yes,54.0,65.0,66.0,Yes,High,2.0,10.0,3.095,Engineering,Computer
4136,27.0,Male,37.0,Auditory,0.0,Yes,62.0,95.0,71.0,Yes,Low,12.0,9.0,4.015,Engineering,Electronic
4137,25.0,Male,15.0,Auditory,14.0,Yes,76.0,67.0,85.0,Yes,High,17.0,5.0,3.665,Engineering,Computer
4138,27.0,Female,38.0,Auditory,19.0,Yes,96.0,49.0,60.0,No,Medium,19.0,7.0,3.265,Business and Finance,Economics
4139,27.0,Female,36.0,Kinesthetic,3.0,Yes,57.0,76.0,89.0,Yes,High,6.0,5.0,3.645,Engineering,Electronic
4141,19.0,Female,20.0,Auditory,12.0,Yes,93.0,48.0,82.0,No,Medium,24.0,6.0,3.415,Health Sciences,Public Health
4142,22.0,Female,33.0,Auditory,11.0,Yes,77.0,76.0,71.0,Yes,Low,1.0,8.0,3.765,Health Sciences,Nursing
4143,24.0,Female,38.0,Reading/Writing,15.0,No,55.0,89.0,58.0,No,Medium,6.0,4.0,3.63,Engineering,Electrical
4144,20.0,Male,37.0,Kinesthetic,6.0,No,61.0,91.0,94.0,Yes,Medium,17.0,9.0,4.13,Business and Finance,Business Administration
4145,27.0,Female,11.0,Auditory,4.0,Yes,50.0,83.0,95.0,Yes,High,9.0,7.0,3.775,Engineering,Computer
4146,20.0,Female,46.0,Visual,9.0,No,67.0,60.0,50.0,No,High,0.0,5.0,3.005,Business and Finance,Economics
4147,22.0,Male,32.0,Auditory,17.0,No,62.0,63.0,91.0,Yes,Medium,30.0,5.0,3.415,Business and Finance,Business Administration
4148,29.0,Male,7.0,Auditory,18.0,Yes,88.0,84.0,55.0,Yes,Medium,6.0,4.0,3.97,Business and Finance,Business Administration
4149,27.0,Male,30.0,Auditory,20.0,No,75.0,58.0,51.0,No,Medium,19.0,9.0,3.085,Health Sciences,Nursing
4150,25.0,Male,22.0,Kinesthetic,7.0,Yes,62.0,71.0,52.0,Yes,Low,25.0,6.0,3.225,Engineering,Electronic
4151,22.0,Male,27.0,Reading/Writing,1.0,Yes,61.0,50.0,97.0,Yes,Medium,4.0,4.0,3.135,Engineering,Electrical
4152,23.0,Male,9.0,Visual,3.0,No,52.0,73.0,95.0,No,Medium,13.0,6.0,3.555,Engineering,Electronic
4153,26.0,Female,47.0,Reading/Writing,16.0,Yes,55.0,49.0,96.0,Yes,Medium,24.0,6.0,3.01,Business and Finance,Economics
4154,29.0,Male,18.0,Visual,16.0,No,68.0,66.0,84.0,Yes,Low,10.0,8.0,3.51,Health Sciences,Nursing
4155,25.0,Female,18.0,Reading/Writing,10.0,Yes,89.0,57.0,56.0,No,Low,28.0,7.0,3.32,Health Sciences,Nursing
4156,22.0,Male,19.0,Auditory,12.0,Yes,50.0,69.0,52.0,Yes,Medium,6.0,8.0,2.995,Engineering,Mechanical
4157,22.0,Male,7.0,Reading/Writing,4.0,Yes,74.0,44.0,73.0,Yes,Medium,12.0,6.0,2.94,Health Sciences,Pharmacy
4158,28.0,Male,39.0,Auditory,12.0,Yes,86.0,57.0,64.0,No,Low,7.0,4.0,3.355,Engineering,Computer
4159,25.0,Female,21.0,Auditory,9.0,No,92.0,49.0,57.0,Yes,Medium,9.0,8.0,3.175,Engineering,Computer
4160,23.0,Male,23.0,Visual,19.0,No,84.0,93.0,88.0,No,Medium,6.0,4.0,4.465,Health Sciences,Pharmacy
4161,23.0,Male,30.0,Kinesthetic,13.0,Yes,55.0,60.0,84.0,Yes,Medium,16.0,4.0,3.165,Engineering,Computer
4162,23.0,Female,10.0,Reading/Writing,13.0,Yes,67.0,59.0,64.0,No,Low,30.0,4.0,3.12,Business and Finance,Business Administration
4163,28.0,Male,15.0,Reading/Writing,9.0,No,80.0,96.0,65.0,Yes,Medium,26.0,5.0,4.25,Engineering,Computer
4164,21.0,Female,43.0,Auditory,20.0,No,74.0,98.0,51.0,No,Medium,23.0,10.0,4.07,Engineering,Mechanical
4165,20.0,Female,16.0,Auditory,9.0,No,78.0,97.0,58.0,Yes,Medium,24.0,6.0,4.175,Business and Finance,Business Administration
4166,28.0,Female,38.0,Reading/Writing,12.0,No,51.0,80.0,98.0,No,High,3.0,5.0,3.745,Health Sciences,Nursing
4167,27.0,Male,26.0,Auditory,8.0,No,83.0,62.0,65.0,No,Medium,19.0,4.0,3.445,Engineering,Mechanical
4168,23.0,Male,8.0,Visual,1.0,Yes,86.0,58.0,71.0,No,Medium,21.0,6.0,3.45,Engineering,Electrical
4169,19.0,Male,13.0,Kinesthetic,16.0,No,96.0,87.0,66.0,Yes,Medium,10.0,7.0,4.275,Engineering,Electrical
4170,26.0,Female,16.0,Kinesthetic,12.0,No,79.0,63.0,53.0,No,Low,18.0,9.0,3.29,Engineering,Computer
4171,27.0,Female,25.0,Reading/Writing,8.0,Yes,74.0,99.0,79.0,No,Medium,0.0,4.0,4.375,Engineering,Mechanical
4172,29.0,Female,44.0,Auditory,0.0,No,82.0,81.0,60.0,Yes,Medium,15.0,10.0,3.855,Business and Finance,Business Administration
4173,24.0,Male,47.0,Visual,8.0,No,87.0,84.0,73.0,Yes,Medium,5.0,10.0,4.135,Health Sciences,Public Health
4174,20.0,Male,15.0,Auditory,12.0,No,64.0,64.0,95.0,No,Medium,25.0,5.0,3.51,Health Sciences,Public Health
4175,29.0,Female,11.0,Auditory,17.0,Yes,74.0,78.0,81.0,Yes,Medium,13.0,7.0,3.87,Business and Finance,Business Administration
4176,22.0,Female,19.0,Kinesthetic,9.0,No,98.0,99.0,83.0,Yes,Medium,15.0,10.0,4.775,Engineering,Electrical
4177,28.0,Male,26.0,Reading/Writing,6.0,Yes,70.0,53.0,62.0,Yes,High,28.0,5.0,2.995,Engineering,Computer
4178,28.0,Male,46.0,Visual,17.0,Yes,99.0,59.0,67.0,Yes,Low,16.0,4.0,3.63,Engineering,Computer
4179,26.0,Female,16.0,Kinesthetic,15.0,Yes,64.0,71.0,59.0,No,Medium,28.0,5.0,3.325,Engineering,Computer
4180,18.0,Female,43.0,Kinesthetic,12.0,No,75.0,100.0,68.0,No,Low,5.0,8.0,4.305,Health Sciences,Pharmacy
4181,19.0,Female,34.0,Visual,9.0,Yes,70.0,86.0,61.0,Yes,Low,12.0,4.0,3.81,Engineering,Computer
4182,22.0,Female,31.0,Kinesthetic,12.0,No,81.0,58.0,53.0,No,Medium,30.0,9.0,3.195,Health Sciences,Pharmacy
4183,23.0,Female,40.0,Reading/Writing,4.0,Yes,55.0,58.0,99.0,No,Low,29.0,6.0,3.265,Business and Finance,Accountancy
4184,18.0,Female,46.0,Visual,15.0,No,80.0,79.0,74.0,Yes,Medium,19.0,5.0,3.915,Engineering,Computer
4185,29.0,Female,20.0,Visual,6.0,Yes,99.0,57.0,69.0,Yes,Medium,26.0,9.0,3.6,Health Sciences,Pharmacy
4186,28.0,Female,43.0,Kinesthetic,1.0,Yes,81.0,90.0,53.0,Yes,Medium,21.0,4.0,3.995,Engineering,Mechanical
4187,22.0,Female,25.0,Visual,20.0,Yes,90.0,52.0,53.0,Yes,Low,26.0,9.0,3.18,Engineering,Mechanical
4188,28.0,Female,40.0,Reading/Writing,1.0,Yes,80.0,63.0,79.0,Yes,Low,27.0,10.0,3.565,Business and Finance,Entrepreneurship
4189,25.0,Male,42.0,Reading/Writing,15.0,Yes,57.0,100.0,71.0,No,Medium,27.0,6.0,4.065,Business and Finance,Economics
4190,24.0,Male,9.0,Auditory,18.0,No,83.0,58.0,71.0,Yes,Low,28.0,10.0,3.405,Engineering,Computer
4191,25.0,Male,39.0,Reading/Writing,3.0,No,84.0,78.0,56.0,No,Medium,30.0,5.0,3.77,Health Sciences,Nursing
4192,22.0,Female,22.0,Kinesthetic,1.0,Yes,59.0,61.0,71.0,Yes,Medium,29.0,8.0,3.12,Business and Finance,Business Administration
4193,23.0,Female,12.0,Visual,11.0,No,69.0,76.0,77.0,Yes,Low,21.0,8.0,3.705,Health Sciences,Nursing
4195,18.0,Male,21.0,Reading/Writing,19.0,No,54.0,77.0,55.0,Yes,Low,9.0,10.0,3.285,Business and Finance,Economics
4196,28.0,Male,21.0,Visual,16.0,No,59.0,46.0,57.0,Yes,High,26.0,10.0,2.605,Health Sciences,Public Health
4197,28.0,Male,23.0,Auditory,0.0,Yes,93.0,44.0,90.0,Yes,Low,14.0,7.0,3.395,Engineering,Computer
4198,25.0,Male,21.0,Reading/Writing,15.0,No,71.0,62.0,50.0,Yes,Low,28.0,10.0,3.115,Engineering,Electronic
4199,26.0,Female,38.0,Auditory,5.0,Yes,69.0,88.0,55.0,No,Medium,6.0,7.0,3.785,Business and Finance,Economics
4200,29.0,Male,49.0,Reading/Writing,11.0,No,60.0,65.0,98.0,No,Medium,15.0,10.0,3.505,Health Sciences,Public Health
4201,20.0,Male,25.0,Visual,18.0,No,82.0,82.0,63.0,Yes,Medium,30.0,5.0,3.91,Health Sciences,Medical Technology
4203,21.0,Male,13.0,Reading/Writing,19.0,No,55.0,69.0,61.0,No,Medium,4.0,9.0,3.16,Engineering,Electrical
4204,25.0,Female,47.0,Visual,17.0,No,60.0,88.0,75.0,No,High,9.0,6.0,3.85,Business and Finance,Entrepreneurship
4205,24.0,Female,30.0,Kinesthetic,9.0,Yes,52.0,99.0,57.0,No,High,24.0,8.0,3.825,Business and Finance,Business Administration
4206,27.0,Female,21.0,Kinesthetic,14.0,No,76.0,80.0,61.0,Yes,High,23.0,9.0,3.75,Health Sciences,Medical Technology
4207,19.0,Male,16.0,Visual,1.0,Yes,82.0,73.0,72.0,Yes,High,18.0,4.0,3.775,Business and Finance,Economics
4208,25.0,Male,20.0,Visual,11.0,Yes,76.0,74.0,78.0,Yes,Medium,29.0,5.0,3.77,Engineering,Computer
4209,18.0,Male,12.0,Kinesthetic,0.0,No,62.0,70.0,90.0,No,Medium,8.0,9.0,3.58,Engineering,Electronic
4210,26.0,Female,44.0,Reading/Writing,1.0,No,61.0,58.0,100.0,Yes,High,17.0,8.0,3.365,Engineering,Computer
4211,25.0,Male,15.0,Reading/Writing,5.0,Yes,60.0,46.0,85.0,Yes,Medium,2.0,7.0,2.9,Engineering,Electrical
4212,29.0,Female,11.0,Reading/Writing,5.0,Yes,71.0,57.0,64.0,Yes,Medium,5.0,7.0,3.13,Business and Finance,Business Administration
4213,21.0,Female,14.0,Kinesthetic,5.0,No,68.0,92.0,77.0,Yes,High,4.0,7.0,4.09,Business and Finance,Accountancy
4214,21.0,Female,41.0,Reading/Writing,14.0,No,91.0,70.0,78.0,Yes,Low,4.0,4.0,3.895,Business and Finance,Business Administration
4215,19.0,Female,11.0,Auditory,10.0,Yes,53.0,46.0,61.0,No,Medium,10.0,4.0,2.555,Business and Finance,Entrepreneurship
4218,23.0,Female,14.0,Auditory,18.0,No,91.0,49.0,81.0,Yes,Medium,28.0,6.0,3.4,Engineering,Electronic
4219,19.0,Male,31.0,Kinesthetic,8.0,No,62.0,66.0,93.0,Yes,Low,7.0,6.0,3.51,Engineering,Electrical
4220,27.0,Female,13.0,Reading/Writing,7.0,Yes,59.0,83.0,95.0,Yes,Medium,10.0,8.0,3.91,Business and Finance,Business Administration
4221,25.0,Male,48.0,Reading/Writing,20.0,Yes,88.0,85.0,86.0,Yes,Low,17.0,7.0,4.305,Engineering,Mechanical
4222,18.0,Female,44.0,Kinesthetic,9.0,Yes,50.0,72.0,74.0,Yes,Medium,7.0,7.0,3.29,Health Sciences,Nursing
4223,21.0,Female,18.0,Reading/Writing,15.0,Yes,61.0,45.0,65.0,Yes,Medium,6.0,4.0,2.69,Business and Finance,Business Administration
4224,29.0,Male,8.0,Kinesthetic,13.0,Yes,95.0,85.0,62.0,No,Medium,0.0,10.0,4.17,Business and Finance,Business Administration
4225,26.0,Male,26.0,Auditory,8.0,No,53.0,41.0,70.0,No,Low,24.0,4.0,2.52,Engineering,Electronic
4226,20.0,Female,6.0,Reading/Writing,12.0,No,59.0,90.0,85.0,Yes,Low,27.0,9.0,3.985,Engineering,Electronic
4227,19.0,Male,32.0,Reading/Writing,12.0,Yes,82.0,67.0,94.0,Yes,Low,25.0,4.0,3.845,Engineering,Mechanical
4228,21.0,Male,17.0,Reading/Writing,0.0,No,71.0,52.0,55.0,Yes,Medium,2.0,7.0,2.915,Engineering,Computer
4229,21.0,Female,23.0,Reading/Writing,13.0,Yes,72.0,94.0,75.0,No,High,13.0,7.0,4.18,Health Sciences,Medical Technology
4230,23.0,Male,34.0,Visual,8.0,No,57.0,40.0,56.0,Yes,Medium,3.0,4.0,2.415,Health Sciences,Nursing
4231,28.0,Male,19.0,Kinesthetic,10.0,No,58.0,64.0,58.0,Yes,Low,29.0,10.0,3.05,Business and Finance,Accountancy
4232,23.0,Female,40.0,Visual,20.0,No,70.0,83.0,100.0,No,Low,10.0,6.0,4.125,Business and Finance,Economics
4233,19.0,Female,11.0,Visual,7.0,Yes,87.0,86.0,72.0,Yes,Low,9.0,5.0,4.175,Business and Finance,Economics
4234,19.0,Male,34.0,Reading/Writing,14.0,Yes,60.0,83.0,97.0,Yes,Medium,18.0,9.0,3.945,Engineering,Computer
4235,19.0,Male,28.0,Kinesthetic,0.0,Yes,79.0,79.0,98.0,Yes,Low,16.0,8.0,4.14,Health Sciences,Public Health
4236,18.0,Male,16.0,Auditory,17.0,Yes,68.0,46.0,68.0,Yes,Low,4.0,10.0,2.85,Engineering,Mechanical
4237,21.0,Female,39.0,Kinesthetic,17.0,Yes,66.0,46.0,87.0,Yes,Low,0.0,5.0,3.01,Health Sciences,Medical Technology
4238,29.0,Male,47.0,Visual,6.0,Yes,83.0,96.0,53.0,Yes,Medium,25.0,7.0,4.175,Engineering,Electrical
4239,27.0,Male,31.0,Auditory,5.0,No,71.0,54.0,99.0,Yes,Medium,20.0,8.0,3.405,Business and Finance,Entrepreneurship
4240,18.0,Male,11.0,Visual,14.0,Yes,84.0,64.0,70.0,Yes,Medium,11.0,8.0,3.56,Business and Finance,Economics
4241,22.0,Male,7.0,Auditory,8.0,No,86.0,69.0,54.0,No,Low,30.0,5.0,3.555,Engineering,Electrical
4242,26.0,Female,28.0,Visual,18.0,No,89.0,42.0,58.0,Yes,Low,16.0,5.0,2.965,Engineering,Mechanical
4243,22.0,Female,14.0,Auditory,18.0,Yes,91.0,94.0,92.0,No,Medium,8.0,4.0,4.635,Health Sciences,Medical Technology
4244,18.0,Male,48.0,Kinesthetic,10.0,Yes,100.0,55.0,56.0,No,Medium,17.0,6.0,3.435,Engineering,Mechanical
4245,29.0,Male,45.0,Kinesthetic,15.0,No,65.0,94.0,99.0,No,Medium,17.0,9.0,4.315,Business and Finance,Economics
4246,22.0,Male,24.0,Auditory,5.0,Yes,96.0,47.0,51.0,Yes,High,10.0,9.0,3.125,Health Sciences,Public Health
4247,18.0,Male,47.0,Kinesthetic,0.0,Yes,52.0,61.0,52.0,No,Medium,7.0,5.0,2.825,Business and Finance,Economics
4248,19.0,Male,17.0,Auditory,4.0,Yes,73.0,81.0,64.0,Yes,Low,21.0,7.0,3.76,Business and Finance,Accountancy
4249,21.0,Other,22.0,Visual,5.0,Yes,52.0,80.0,79.0,Yes,High,13.0,4.0,3.57,Business and Finance,Business Administration
4250,23.0,Female,44.0,Reading/Writing,18.0,Yes,79.0,60.0,66.0,Yes,Medium,26.0,5.0,3.345,Engineering,Mechanical
4251,20.0,Male,36.0,Visual,17.0,No,64.0,41.0,83.0,Yes,Low,1.0,9.0,2.815,Business and Finance,Entrepreneurship
4252,23.0,Female,6.0,Visual,4.0,Yes,64.0,100.0,92.0,No,Low,11.0,8.0,4.38,Business and Finance,Economics
4253,28.0,Male,7.0,Visual,9.0,Yes,94.0,41.0,59.0,Yes,Low,13.0,6.0,3.025,Business and Finance,Economics
4254,26.0,Female,26.0,Kinesthetic,0.0,Yes,80.0,62.0,89.0,No,Medium,30.0,7.0,3.64,Business and Finance,Business Administration
4255,28.0,Female,32.0,Reading/Writing,18.0,Yes,80.0,67.0,60.0,No,Low,17.0,6.0,3.475,Health Sciences,Medical Technology
4256,25.0,Other,30.0,Visual,15.0,No,60.0,98.0,88.0,Yes,Medium,25.0,7.0,4.23,Health Sciences,Medical Technology
4257,18.0,Female,10.0,Kinesthetic,19.0,Yes,86.0,69.0,53.0,Yes,Low,8.0,7.0,3.545,Engineering,Electronic
4258,29.0,Female,37.0,Auditory,3.0,No,59.0,89.0,60.0,Yes,Low,13.0,9.0,3.71,Engineering,Computer
4259,20.0,Male,42.0,Visual,10.0,Yes,65.0,48.0,51.0,Yes,Medium,19.0,10.0,2.685,Business and Finance,Entrepreneurship
4260,26.0,Male,32.0,Visual,17.0,No,52.0,51.0,67.0,Yes,Medium,6.0,10.0,2.725,Business and Finance,Entrepreneurship
4261,28.0,Other,37.0,Reading/Writing,17.0,Yes,65.0,47.0,51.0,Yes,Medium,14.0,9.0,2.66,Health Sciences,Nursing
4262,28.0,Female,22.0,Auditory,11.0,Yes,73.0,98.0,51.0,Yes,Low,19.0,4.0,4.055,Business and Finance,Accountancy
4263,27.0,Female,40.0,Kinesthetic,18.0,Yes,80.0,64.0,87.0,Yes,High,15.0,4.0,3.67,Health Sciences,Pharmacy
4264,21.0,Other,25.0,Reading/Writing,20.0,Yes,58.0,60.0,61.0,Yes,Medium,30.0,9.0,2.98,Business and Finance,Economics
